Classroom Areas,ICT and Business Areas,Science Areas,Creative Art Areas,Design and Tech Areas,PE Basic Teaching Areas,Hall Areas,Learning Resource Areas,Art and DT Resource Areas,SEN and Support Areas,Staff and Admin Areas,Teaching Storage Areas,Non Teaching Storage Areas,Kitchen Areas,Toilet Areas,Plant Areas,Circulation Areas
#F44336 ,#FF5722 ,#FF9800,#FFC107,#AFB42B,#7CB342,#43A047,#009688,#00BCD4`,#03A9F4,#1E88E5,#3F51B5,#672AB7,#9C27B0,#E91E63,#795548,#607D8B
